ID,Groups,Tasks,Acc,Eff,Java,Vulns,Perc
R_6VjPVPsjubWNXHF,5,Path,0.0,0.0,1.5,1.5,2.0
R_6VjPVPsjubWNXHF,5,Injection,0.2,0.039,1.5,1.5,2.4
R_6VjPVPsjubWNXHF,5,XSS,0.0,0.0,1.5,1.5,2.4
R_6VjPVPsjubWNXHF,5,DoS,0.0,0.0,1.5,1.5,1.8
R_2xzP3qObkA69NAD,2,Path,0.0,0.0,2.5,1.5,2.0
R_2xzP3qObkA69NAD,2,Injection,0.2,0.03722,2.5,1.5,1.6
R_2xzP3qObkA69NAD,2,XSS,0.0,0.0,2.5,1.5,1.2
R_2xzP3qObkA69NAD,2,DoS,0.0,0.0,2.5,1.5,0.8
R_32Y1Hn1rVUXOZzP,1,Path,0.0,0.0,0.5,0.5,2.4
R_32Y1Hn1rVUXOZzP,1,Injection,0.2,0.02697,0.5,0.5,3.0
R_32Y1Hn1rVUXOZzP,1,XSS,0.0,0.0,0.5,0.5,2.8
R_32Y1Hn1rVUXOZzP,1,DoS,0.0,0.0,0.5,0.5,2.2
R_2vdWuXgTSThhtKg,2,Path,0.07692,0.02636,2.0,1.5,2.8
R_2vdWuXgTSThhtKg,2,Injection,0.4,0.05271,2.0,1.5,3.0
R_2vdWuXgTSThhtKg,2,XSS,0.25,0.02636,2.0,1.5,3.0
R_2vdWuXgTSThhtKg,2,DoS,0.0,0.0,2.0,1.5,2.4
R_3ZNSmOFtlGu0hFO,3,Path,0.23077,0.07601,3.0,0.5,2.0
R_3ZNSmOFtlGu0hFO,3,Injection,0.6,0.07601,3.0,0.5,2.8
R_3ZNSmOFtlGu0hFO,3,XSS,0.0,0.0,3.0,0.5,2.8
R_3ZNSmOFtlGu0hFO,3,DoS,0.0,0.0,3.0,0.5,2.8
R_5lnpT58nAAb4f8g,4,Path,0.0,0.0,3.5,3.5,2.0
R_5lnpT58nAAb4f8g,4,Injection,0.4,0.05072,3.5,3.5,2.0
R_5lnpT58nAAb4f8g,4,XSS,0.0,0.0,3.5,3.5,2.0
