ResponseId,Which Group,Coder Experience,WorkingJava,FindingVulns,PathLines,InjectionLines,XSSLines,DoSLines,Familiar.Java,Familiar.Vuln,Difficulty.Marks_1,Difficulty.Marks_2,Difficulty.Marks_3,Difficulty.Marks_4,Difficulty.Correct_1,Difficulty.Correct_2,Difficulty.Correct_3,Difficulty.Correct_4,Process.Understand,Process.Time,Process.Training,Duration (in seconds),,,,,,,,,,,,,
R_6VjPVPsjubWNXHF,Group5,Only as a Teaching Assistant,As part of University projects,As part of University projects,253;675;926,59;83,85; ,448;,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,40-60%,60-80%,60-80%,20-40%,Agree,Agree,Disagree,2564,,,,,,,,,,,,,
R_2xzP3qObkA69NAD,Group2,Yes but in another programming language at a Company,Developed several projects using Java,As part of University projects,91,151;153,89,415,Agree,Neither-Agree-nor-Disagree,Easy,Neither Hard Nor Easy,Hard,Very Hard,60-80%,40-60%,20-40%,0-20%,Disagree,Agree,Strongly disagree,2687,,,,,,,,,,,,,
R_32Y1Hn1rVUXOZzP,Group1,Yes but in another programming language at a Company,No experience,No experience,348;349,62;84;,348;349;350;351;352;353;354,137;193;196;228;,Disagree,Disagree,Hard,Easy,Neither Hard Nor Easy,Hard,40-60%,60-80%,60-80%,20-40%,Strongly agree,Strongly agree,Disagree,3708,,,,,,,,,,,,,
R_2vdWuXgTSThhtKg,Group2,Yes but in another programming language at a Company,As part of University projects,No experience,75;120,103;113;144;151;323;327;331,73;86;87;89;91,105;118;184;253;274;325;327;328;330;378;398;399;400;426;546;744;745;810,Agree,Agree,Easy,Easy,Easy,Neither Hard Nor Easy,40-60%,60-80%,60-80%,20-40%,Agree,Agree,Agree,3794,,,,,,,,,,,,,
R_3ZNSmOFtlGu0hFO,Group3,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,76;81;91;95,62;87;90,343;371;376,398;426;433;438;811,Agree,Disagree,Hard,Easy,Easy,Easy,20-40%,60-80%,60-80%,60-80%,Agree,Agree,Neither-Agree-nor-Disagree,3947,,,,,,,,,,,,,
R_5lnpT58nAAb4f8g,Group4,Yes in Java at a Company,Several years of professional experience with Java,Several years of professional experience outside of university,480;483;928;930,151;287;301,66;69;70,51;121;235;,Agree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Easy,60-80%,60-80%,60-80%,60-80%,Disagree,Agree,Disagree,3943,,,,,,,,,,,,,
R_4NgoXAsj4ykMT4h,Group3,Not really,Developed several projects using Java,Find vulnerabilities outside university,76,59,364;365;429;437;451,475;508,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Easy,Easy,Neither Hard Nor Easy,Hard,40-60%,40-60%,20-40%,20-40%,Agree,Agree,Neither-Agree-nor-Disagree,3670,,,,,,,,,,,,,
R_3ez9pWg1fb4UuBD,Group5,Yes but in another programming language at a Company,Developed project(s) using Java outside University,No experience,462,59,73,580,Disagree,Neither-Agree-nor-Disagree,Easy,Easy,Hard,Very Hard,60-80%,60-80%,60-80%,40-60%,Agree,Agree,Disagree,4106,,,,,,,,,,,,,
R_3Y2NHgEILEl8upj,Group2,Yes in Java at a Company,Developed project(s) using Java outside University,As part of University projects,76;120,151;301,73;74;75;76,237;778;782,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Easy,Easy,20-40%,0-20%,60-80%,60-80%,Agree,Agree,Neither-Agree-nor-Disagree,4255,,,,,,,,,,,,,
R_8wyQcvpYBK02KVV,Group3,Not really,No experience,No experience,76;108,59;62,466;468;480;482,103; 747,Neither-Agree-nor-Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,80%-100%,80%-100%,60-80%,60-80%,Neither-Agree-nor-Disagree,Agree,Disagree,4735,,,,,,,,,,,,,
R_4qmhEq35UDKr8nM,Group2,Not really,No experience,No experience,76;107;114,287,70;85;85;87;88;89;90;92,"454;462,491",Neither-Agree-nor-Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Easy,Easy,40-60%,60-80%,60-80%,40-60%,Agree,Strongly agree,Strongly agree,5027,,,,,,,,,,,,,
R_21vKESufxLoM9S6,Group1,Only as a Teaching Assistant,No experience,As part of University projects,361;368;458;505;854,59;86,427;426;435,56;51,Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Very Hard,0-20%,20-40%,20-40%,0-20%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,5260,,,,,,,,,,,,,
R_7rdJdfY8zlB9TXP,Group4,Only as a Teaching Assistant,As part of University projects,As part of University projects,208;348;481;694;753,151;153;190;195;281,69;74,51,Agree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,Easy,40-60%,40-60%,40-60%,40-60%,Agree,Agree,Agree,5326,,,,,,,,,,,,,
R_2DxfRUKRXjnMMRr,Group1,Yes but in another programming language at a Company,As part of University projects,No experience,543;549;566;854,62;87,347;429;430;468,151;51,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,0-20%,0-20%,0-20%,0-20%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,5355,,,,,,,,,,,,,
R_284dImTUDG2EBvb,Group6,Only as a Teaching Assistant,Developed several projects using Java,As part of University projects,75;76;91;93;95,142;151;153;159;160;162;163,425;426;441;446;447;451,47;49;50;51;68;237,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Easy,Hard,Neither Hard Nor Easy,20-40%,40-60%,20-40%,20-40%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,5504,,,,,,,,,,,,,
R_6P1oxpzTFDFmN1H,Group6,Not really,As part of University projects,As part of University projects,114,190,429,83,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Easy,Neither Hard Nor Easy,Hard,Hard,60-80%,40-60%,20-40%,20-40%,Strongly agree,Disagree,Neither-Agree-nor-Disagree,4940,,,,,,,,,,,,,
R_5Qc0OIbbFFPUXts,Group6,Not really,As part of University projects,As part of University projects,95;117,287;301,441;451;466;468;470,177;187;201,Agree,Agree,Neither Hard Nor Easy,Hard,Hard,Hard,60-80%,40-60%,40-60%,40-60%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,6526,,,,,,,,,,,,,
R_5rMs9OjM3AMhLQ2,Group6,Not really,As part of University projects,No experience,119;120,195;196,466;468;480;482,121;235,Agree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Hard,Neither Hard Nor Easy,40-60%,20-40%,40-60%,20-40%,Agree,Strongly agree,Neither-Agree-nor-Disagree,6633,,,,,,,,,,,,,
R_2xQuBoINqDS5QB0,Group1,Yes but in another programming language at a Company,As part of University projects,No experience,93;155;187;200;225;228;231;253;306;367;376;379;417;419;479;645;658;769,62;63;93;83;94,150;175;184;190;255;382;378;391;420;447;485,56;57;66;78;80;89;95;107;177;178;184;237,Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,60-80%,60-80%,40-60%,40-60%,Agree,Agree,Agree,6623,,,,,,,,,,,,,
R_4d4EEt0vsGlBTRd,Group4,Yes in Java at a Company,Developed project(s) using Java outside University,As part of University projects,339;348;,292;293;300,74;87;89,151;168;209;222;,Neither-Agree-nor-Disagree,Disagree,Hard,Hard,Hard,Hard,40-60%,40-60%,40-60%,40-60%,Agree,Strongly agree,Disagree,6796,,,,,,,,,,,,,
R_3aVtz9AHKzUNAsC,Group4,Yes but in another programming language at a Company,As part of University projects,No experience,"348;463;466;468;479;927,928,930",144;147;195;235;236,66;89,235,Neither-Agree-nor-Disagree,Strongly agree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,60-80%,80%-100%,60-80%,20-40%,Strongly agree,Strongly agree,Agree,6871,,,,,,,,,,,,,
R_6rHPwheFYU7MYtA,Group3,Not really,As part of University projects,As part of University projects,76;91;93,62;84;89,347;445;468,420:491,Disagree,Agree,Easy,Easy,Neither Hard Nor Easy,Hard,80%-100%,40-60%,40-60%,0-20%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,7048,,,,,,,,,,,,,
R_5wvGVB6iwMitbXC,Group5,Yes but in another programming language at a Company,As part of University projects,No experience,339;348;349,"58,59,66,67","66,69,70,89",148;98;103;475,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Very Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,60-80%,60-80%,40-60%,40-60%,Strongly agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,7094,,,,,,,,,,,,,
R_5kHcDGxYL3IYyNu,Group5,Yes as a Research Assistant at University,As part of University projects,Several years of professional experience outside of university,5-46,56,5-67890,564,Neither-Agree-nor-Disagree,Strongly disagree,Very Easy,Easy,Neither Hard Nor Easy,Hard,20-40%,20-40%,20-40%,20-40%,Disagree,Disagree,Strongly agree,271,,,,,,,,,,,,,
R_10C0Fc0WmZPDXoz,Group3,Not really,No experience,As part of University projects,"The code within the while(true) statement in the string function normalize (dont have a proper editor, download takes too long)",86-92,345-354,413-448,Disagree,Neither-Agree-nor-Disagree,Easy,Easy,Hard,Hard,40-60%,40-60%,20-40%,0-20%,Agree,Strongly agree,Neither-Agree-nor-Disagree,2360,,,,,,,,,,,,,
R_4ZTag6Jezolkg7v,Group6,Only as a Teaching Assistant,As part of University projects,As part of University projects,75,142; 274; 290,347,68,Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,60-80%,60-80%,20-40%,Agree,Neither-Agree-nor-Disagree,Disagree,2483,,,,,,,,,,,,,
R_3s6YMpNoh34GuhE,Group4,Yes as a Research Assistant at University,No experience,As part of University projects,76;112;157;180;212,151,88,76;112;157;180;212,Strongly disagree,Neither-Agree-nor-Disagree,Hard,Easy,Very Easy,Neither Hard Nor Easy,0-20%,20-40%,60-80%,40-60%,Agree,Strongly agree,Neither-Agree-nor-Disagree,1901,,,,,,,,,,,,,
R_3FOL6BSvUcFSIrW,Group6,Yes but in another programming language at a Company,No experience,Find vulnerabilities outside university,114,180,342,68,Disagree,Disagree,Easy,Hard,Hard,Hard,40-60%,0-20%,0-20%,0-20%,Disagree,Agree,Disagree,1170,,,,,,,,,,,,,
R_26aovXcAszRH26f,Group3,Yes but in another programming language at a Company,Developed project(s) using Java outside University,Find vulnerabilities outside university,"119,121",89,434;445,438,Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Easy,40-60%,40-60%,60-80%,80%-100%,Agree,Agree,Neither-Agree-nor-Disagree,2668,,,,,,,,,,,,,
R_1CvVU07N39EVqGy,Group3,Yes but in another programming language at a Company,As part of University projects,As part of University projects,115; 117,89;90,467;468,394; 773,Disagree,Agree,Neither Hard Nor Easy,Easy,Very Hard,Hard,40-60%,60-80%,20-40%,40-60%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,2778,,,,,,,,,,,,,
R_3m8AcYvLa3hl3Os,Group4,Yes in Java at a Company,Developed several projects using Java,No experience,205;208;364;365;366;367;368;480; 850;854;859;860;910;911;915;928;930;,159;163;184;293;323;335,68;75,55;76;77;109;119;137;228;229,Neither-Agree-nor-Disagree,Agree,Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,40-60%,20-40%,20-40%,0-20%,Agree,Agree,Neither-Agree-nor-Disagree,3165,,,,,,,,,,,,,
R_3ad8iHXwqa7yHC1,Group5,Not really,Developed project(s) using Java outside University,As part of University projects,854,82;87,69,420,Agree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Easy,Hard,40-60%,20-40%,80%-100%,20-40%,Agree,Neither-Agree-nor-Disagree,Strongly disagree,3222,,,,,,,,,,,,,
R_2Swuf4973133TEJ,Group3,Not really,No experience,No experience,75;91;93;120,59;62;66,441;442;445;465;466;467;468;479;480;481;482,397;398;399;475;653;654;655,Disagree,Disagree,Hard,Hard,Very Hard,Very Hard,20-40%,20-40%,0-20%,0-20%,Strongly agree,Agree,Disagree,2929,,,,,,,,,,,,,
R_1Kx8flofL7vgaLz,Group2,Not really,As part of University projects,As part of University projects,;,64;78,70;76,805,Neither-Agree-nor-Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,60-80%,40-60%,60-80%,20-40%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,2798,,,,,,,,,,,,,
R_xaVdsmgzk12EEeZ,Group3,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,75:95,62;66,497,415;,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,0-20%,20-40%,0-20%,20-40%,Agree,Agree,Neither-Agree-nor-Disagree,2807,,,,,,,,,,,,,
R_3iJuvDXtd1nIgxs,Group5,Not really,No experience,No experience,463; 516,62,89,810,Strongly disagree,Neither-Agree-nor-Disagree,Very Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,0-20%,40-60%,40-60%,0-20%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,3303,,,,,,,,,,,,,
R_tRKLArCTuM8yHTj,Group2,Only as a Teaching Assistant,As part of University projects,No experience,76;91;93;95,319;321;235;195;163,88;74;75,240;262;283;306;337;463;498;534;576,Neither-Agree-nor-Disagree,Strongly disagree,Hard,Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,3389,,,,,,,,,,,,,
R_2feBGxnqgqIwwC7,Group5,Only as a Teaching Assistant,Developed several projects using Java,No experience,479,86;93,88;89,227,Neither-Agree-nor-Disagree,Disagree,Very Hard,Hard,Hard,Very Hard,40-60%,40-60%,40-60%,20-40%,Agree,Agree,Disagree,3314,,,,,,,,,,,,,
